symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,SHORT,82754.4,83094.46935715452,0.1500720248009861,83094.46935715452,82074.26128569094,51.034897000950004,-51.034897,24.88927564,-75.92417264,LOSS,STOP_LOSS,2026-07-26T11:58:22.472733+00:00,2026-07-26T11:58:22.473080+00:00,10131.05522755
BTCUSDT,SHORT,83031.1,82287.38547957016,0.1362223669062508,83402.95726021493,82287.38547957016,50.65527613775001,101.31055228,22.52007539,78.79047689,WIN,TAKE_PROFIT,2026-07-26T11:58:22.474300+00:00,2026-07-26T11:58:22.475538+00:00,10209.84570444
BTCUSDT,SHORT,81568.6,82055.78095294164,0.10478494328228886,82055.78095294164,80594.23809411675,51.04922852220001,-51.04922852,17.14537148,-68.1946,LOSS,STOP_LOSS,2026-07-26T11:58:22.476593+00:00,2026-07-26T11:58:22.477103+00:00,10141.65110444
BTCUSDT,SHORT,81078.5,79583.66722412923,0.06784471994556247,81825.91638793539,79583.66722412923,50.708255522200005,101.41651104,10.90007974,90.5164313,WIN,TAKE_PROFIT,2026-07-26T11:58:22.478176+00:00,2026-07-26T11:58:22.478513+00:00,10232.16753574
BTCUSDT,SHORT,78817.1,76826.24274468365,0.05139578695768465,79812.52862765818,76826.24274468365,51.160837678700005,102.32167536,7.99941209,94.32226327,WIN,TAKE_PROFIT,2026-07-26T11:58:22.479665+00:00,2026-07-26T11:58:22.480106+00:00,10326.48979901
BTCUSDT,SHORT,77518.8,78784.481457395,0.04079418932257949,78784.481457395,74987.43708521,51.632448995050005,-51.632449,6.37626566,-58.00871465,LOSS,STOP_LOSS,2026-07-26T11:58:22.481284+00:00,2026-07-26T11:58:22.482685+00:00,10268.48108436
BTCUSDT,SHORT,78310.9,79146.59529282188,0.06143675315967423,79146.59529282188,76639.50941435622,51.34240542180001,-51.34240542,9.67367727,-61.01608269,LOSS,STOP_LOSS,2026-07-26T11:58:22.484155+00:00,2026-07-26T11:58:22.485743+00:00,10207.46500167
BTCUSDT,SHORT,78334.0,78821.10419132053,0.10477701879343068,78821.10419132053,77359.79161735895,51.03732500835002,-51.03732501,16.46624331,-67.50356831,LOSS,STOP_LOSS,2026-07-26T11:58:22.486959+00:00,2026-07-26T11:58:22.487286+00:00,10139.96143336
ETHUSDT,SHORT,2410.65,2355.771580690397,1.8477138301222298,2438.0892096548014,2355.771580690397,50.69980716680002,101.39961433,8.80698307,92.59263126,WIN,TAKE_PROFIT,2026-07-26T11:58:22.488403+00:00,2026-07-26T11:58:22.488988+00:00,10232.55406462
BTCUSDT,SHORT,77812.9,78278.40578730352,0.10990791461361657,78278.40578730352,76881.88842539294,51.16277032310002,-51.16277032,17.15566991,-68.31844023,LOSS,STOP_LOSS,2026-07-26T11:58:22.490114+00:00,2026-07-26T11:58:22.490563+00:00,10164.23562439
