symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,SHORT,88028.1,87308.4550600499,0.13895741420336147,88387.92246997506,87308.4550600499,50.0,100.0,24.36431431,75.63568569,WIN,TAKE_PROFIT,2026-07-26T11:59:18.036888+00:00,2026-07-26T11:59:18.038140+00:00,10075.63568569
BTCUSDT,SHORT,86978.7,86245.72127522044,0.13746150256571607,87345.18936238978,86245.72127522044,50.37817842845,100.75635686,23.81168923,76.94466763,WIN,TAKE_PROFIT,2026-07-26T11:59:18.038575+00:00,2026-07-26T11:59:18.038758+00:00,10152.58035332
BTCUSDT,SHORT,85301.1,84248.96975556185,0.09649547104067453,85827.16512221908,84248.96975556185,50.762901766599995,101.52580353,16.36081385,85.16498969,WIN,TAKE_PROFIT,2026-07-26T11:59:18.039194+00:00,2026-07-26T11:59:18.039583+00:00,10237.74534301
SOLUSDT,SHORT,117.92,119.38930274624073,34.838787884946555,119.38930274624073,114.98139450751856,51.188726715049995,-51.18872672,8.26756846,-59.45629518,LOSS,STOP_LOSS,2026-07-26T11:59:18.040054+00:00,2026-07-26T11:59:18.040285+00:00,10178.28904783
ETHUSDT,SHORT,2838.8,2779.1224854338107,1.705548416655502,2868.638757283095,2779.1224854338107,50.891445239149995,101.78289048,9.5816388,92.20125168,WIN,TAKE_PROFIT,2026-07-26T11:59:18.040824+00:00,2026-07-26T11:59:18.041130+00:00,10270.49029951
ETHUSDT,SHORT,2802.8,2739.266317873832,1.6165425890340182,2834.566841063084,2739.266317873832,51.35245149755,102.704903,8.95898623,93.74591676,WIN,TAKE_PROFIT,2026-07-26T11:59:18.041750+00:00,2026-07-26T11:59:18.043037+00:00,10364.23621627
BTCUSDT,SHORT,81988.5,82723.97338183702,0.07045962826270408,82723.97338183702,80517.55323632597,51.821181081350005,-51.82118108,11.60557964,-63.42676073,LOSS,STOP_LOSS,2026-07-26T11:59:18.043673+00:00,2026-07-26T11:59:18.044163+00:00,10300.80945554
BTCUSDT,SHORT,82983.6,83708.31539473559,0.07106796357829795,83708.31539473559,81534.16921052885,51.5040472777,-51.50404728,11.84645497,-63.35050225,LOSS,STOP_LOSS,2026-07-26T11:59:18.044799+00:00,2026-07-26T11:59:18.046588+00:00,10237.45895329
ETHUSDT,SHORT,2736.37,2681.9893645294087,1.8825559621910628,2763.5603177352955,2681.9893645294087,51.18729476645,102.37458953,10.20036473,92.17422481,WIN,TAKE_PROFIT,2026-07-26T11:59:18.047304+00:00,2026-07-26T11:59:18.048044+00:00,10329.6331781
BTCUSDT,SHORT,82468.3,83287.66531857589,0.06303435686082963,83287.66531857589,80829.56936284823,51.6481658905,-51.64816589,10.44832067,-62.09648656,LOSS,STOP_LOSS,2026-07-26T11:59:18.048784+00:00,2026-07-26T11:59:18.048975+00:00,10267.53669154
BTCUSDT,LONG,83897.3,82968.14061816671,0.05525175170314415,82968.14061816671,85755.61876366659,51.3376834577,-51.33768346,9.21960789,-60.55729135,LOSS,STOP_LOSS,2026-07-26T11:59:18.049697+00:00,2026-07-26T11:59:18.052084+00:00,10206.97940019
BTCUSDT,SHORT,82754.4,83094.46935715452,0.1500720248009861,83094.46935715452,82074.26128569094,51.034897000950004,-51.034897,24.88927564,-75.92417264,LOSS,STOP_LOSS,2026-07-26T11:59:18.052899+00:00,2026-07-26T11:59:18.053066+00:00,10131.05522755
BTCUSDT,SHORT,83031.1,82287.38547957016,0.1362223669062508,83402.95726021493,82287.38547957016,50.65527613775001,101.31055228,22.52007539,78.79047689,WIN,TAKE_PROFIT,2026-07-26T11:59:18.053846+00:00,2026-07-26T11:59:18.055011+00:00,10209.84570444
BTCUSDT,SHORT,81568.6,82055.78095294164,0.10478494328228886,82055.78095294164,80594.23809411675,51.04922852220001,-51.04922852,17.14537148,-68.1946,LOSS,STOP_LOSS,2026-07-26T11:59:18.056271+00:00,2026-07-26T11:59:18.056729+00:00,10141.65110444
BTCUSDT,SHORT,81078.5,79583.66722412923,0.06784471994556247,81825.91638793539,79583.66722412923,50.708255522200005,101.41651104,10.90007974,90.5164313,WIN,TAKE_PROFIT,2026-07-26T11:59:18.057544+00:00,2026-07-26T11:59:18.057816+00:00,10232.16753574
BTCUSDT,SHORT,78817.1,76826.24274468365,0.05139578695768465,79812.52862765818,76826.24274468365,51.160837678700005,102.32167536,7.99941209,94.32226327,WIN,TAKE_PROFIT,2026-07-26T11:59:18.058711+00:00,2026-07-26T11:59:18.059071+00:00,10326.48979901
BTCUSDT,SHORT,77518.8,78784.481457395,0.04079418932257949,78784.481457395,74987.43708521,51.632448995050005,-51.632449,6.37626566,-58.00871465,LOSS,STOP_LOSS,2026-07-26T11:59:18.060046+00:00,2026-07-26T11:59:18.060959+00:00,10268.48108436
BTCUSDT,SHORT,78310.9,79146.59529282188,0.06143675315967423,79146.59529282188,76639.50941435622,51.34240542180001,-51.34240542,9.67367727,-61.01608269,LOSS,STOP_LOSS,2026-07-26T11:59:18.061952+00:00,2026-07-26T11:59:18.063582+00:00,10207.46500167
BTCUSDT,SHORT,78334.0,78821.10419132053,0.10477701879343068,78821.10419132053,77359.79161735895,51.03732500835002,-51.03732501,16.46624331,-67.50356831,LOSS,STOP_LOSS,2026-07-26T11:59:18.064629+00:00,2026-07-26T11:59:18.064979+00:00,10139.96143336
ETHUSDT,SHORT,2410.65,2355.771580690397,1.8477138301222298,2438.0892096548014,2355.771580690397,50.69980716680002,101.39961433,8.80698307,92.59263126,WIN,TAKE_PROFIT,2026-07-26T11:59:18.065932+00:00,2026-07-26T11:59:18.066478+00:00,10232.55406462
