symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,balance_after
ETHUSDT,LONG,3683.58,3741.3947390425333,1.7296627409566263,3654.6726304787335,3741.3947390425333,50.0,100.0,12.84270216,87.15729784,WIN,TAKE_PROFIT,10087.15729784
ETHUSDT,LONG,3745.21,3721.555555144409,2.1321906642539235,3721.555555144409,3792.5188897111816,50.4357864892,-50.43578649,15.92056781,-66.3563543,LOSS,STOP_LOSS,10020.80094354
SOLUSDT,LONG,187.5,186.35310958084688,43.6868282104028,186.35310958084688,189.79378083830628,50.1040047177,-50.10400472,16.33245657,-66.43646129,LOSS,STOP_LOSS,9954.36448225
ETHUSDT,LONG,3742.47,3782.171263559814,2.5073167928906335,3722.6193682200924,3782.171263559814,49.77182241124999,99.54364482,18.8666594,80.67698542,WIN,TAKE_PROFIT,10035.04146767
ETHUSDT,LONG,3745.34,3789.005609724971,2.298156725825218,3723.507195137515,3789.005609724971,50.17520733834999,100.35041468,17.31510704,83.03530764,WIN,TAKE_PROFIT,10118.07677531
ETHUSDT,LONG,3789.36,3770.821242996076,2.728898375756288,3770.821242996076,3826.437514007849,50.59038387654999,-50.59038388,20.63096631,-71.22135019,LOSS,STOP_LOSS,10046.85542512
SOLUSDT,LONG,187.21,186.22368015183244,50.93102122899332,186.22368015183244,189.18263969633514,50.234277125599995,-50.23427713,19.01935869,-69.25363582,LOSS,STOP_LOSS,9977.6017893
SOLUSDT,LONG,187.03,186.07450886271016,52.21190129298583,186.07450886271016,188.94098227457968,49.888008946499994,-49.88800895,19.48049579,-69.36850474,LOSS,STOP_LOSS,9908.23328456
ETHUSDT,LONG,3825.09,3800.608808197535,2.0236419379636112,3800.608808197535,3874.052383604931,49.541166422799996,-49.54116642,15.43168391,-64.97285034,LOSS,STOP_LOSS,9843.26043422
ETHUSDT,LONG,3808.31,3853.064753878964,2.1993776260819935,3785.932623060518,3853.064753878964,49.2163021711,98.43260434,16.85025622,81.58234812,WIN,TAKE_PROFIT,9924.84278234
ETHUSDT,LONG,3860.01,3834.218909937097,1.9240836192137967,3834.218909937097,3911.592180125807,49.6242139117,-49.62421391,14.80433981,-64.42855372,LOSS,STOP_LOSS,9860.41422862
BTCUSDT,LONG,118980.0,119624.95383364226,0.15288558210337422,118657.52308317886,119624.95383364226,49.3020711431,98.60414229,36.47925726,62.12488503,WIN,TAKE_PROFIT,9922.53911365
ETHUSDT,LONG,3854.44,3899.6670643683497,2.1939383535567085,3831.8264678158253,3899.6670643683497,49.612695568250004,99.22539114,17.01203289,82.21335825,WIN,TAKE_PROFIT,10004.7524719
BTCUSDT,LONG,119600.0,119212.8169412195,0.12919925400935234,119212.8169412195,120374.366117561,50.0237623595,-50.02376236,30.8544378,-80.87820016,LOSS,STOP_LOSS,9923.87427174
ETHUSDT,LONG,3878.47,3929.994663658358,1.926043484250887,3852.7076681708204,3929.994663658358,49.6193713587,99.23874272,15.03944249,84.19930023,WIN,TAKE_PROFIT,10008.07357197
BTCUSDT,LONG,119355.0,119041.13917314884,0.15943489463749275,119041.13917314884,119982.7216537023,50.04036785985,-50.04036786,38.00866333,-88.04903119,LOSS,STOP_LOSS,9920.02454078
SOLUSDT,LONG,192.59,190.93784973108723,30.021556535859172,190.93784973108723,195.89430053782556,49.600122703900006,-49.6001227,11.51410302,-61.11422573,LOSS,STOP_LOSS,9858.91031505
BTCUSDT,SHORT,118548.8,118874.7436586288,0.15123641853511594,118874.7436586288,117896.91268274243,49.294551575250004,-49.29455158,35.90708642,-85.20163799,LOSS,STOP_LOSS,9773.70867706
SOLUSDT,LONG,192.41,191.0334476320823,35.500678742228615,191.0334476320823,195.1631047358354,48.86854338530001,-48.86854339,13.61250265,-62.48104604,LOSS,STOP_LOSS,9711.22763102
BTCUSDT,SHORT,118579.9,118917.44367290298,0.1438514244319848,118917.44367290298,117904.812654194,48.55613815510001,-48.55613816,34.16433119,-82.72046934,LOSS,STOP_LOSS,9628.50716168
BTCUSDT,SHORT,118412.0,117555.69101305504,0.11244197256449955,118840.15449347248,117555.69101305504,48.142535808400005,96.28507162,26.53267264,69.75239898,WIN,TAKE_PROFIT,9698.25956066
ETHUSDT,SHORT,3776.43,3808.718209556697,1.5018267803964405,3808.718209556697,3711.8535808866054,48.4912978033,-48.4912978,11.39157871,-59.88287652,LOSS,STOP_LOSS,9638.37668414
BTCUSDT,SHORT,117670.0,118162.51986609498,0.09784759303781419,118162.51986609498,116684.96026781005,48.19188342070001,-48.19188342,23.07564443,-71.26752785,LOSS,STOP_LOSS,9567.10915629
ETHUSDT,SHORT,3756.76,3792.46588862051,1.339710272718777,3792.46588862051,3685.34822275898,47.83554578145001,-47.83554578,10.11377547,-57.94932126,LOSS,STOP_LOSS,9509.15983503
BTCUSDT,LONG,118745.6,118304.55169292852,0.1078017949798966,118304.55169292852,119627.69661414296,47.545799175150016,-47.54579918,25.55443185,-73.10023103,LOSS,STOP_LOSS,9436.059604
SOLUSDT,SHORT,182.3,183.69373032824257,33.851812695711764,183.69373032824257,179.5125393435149,47.180298020000016,-47.18029802,12.38955121,-59.56984923,LOSS,STOP_LOSS,9376.48975477
BTCUSDT,LONG,118908.1,118536.75792308303,0.12625137760602484,118536.75792308303,119650.78415383394,46.88244877385002,-46.88244877,29.97774042,-76.86018919,LOSS,STOP_LOSS,9299.62956558
SOLUSDT,SHORT,182.62,179.45015366165137,29.337792980920252,184.20492316917432,179.45015366165137,46.49814782790002,92.99629566,10.62233921,82.37395644,WIN,TAKE_PROFIT,9382.00352202
SOLUSDT,SHORT,180.3,182.1612138046131,25.20399187553382,182.1612138046131,176.5775723907738,46.91001761010002,-46.91001761,9.13546949,-56.0454871,LOSS,STOP_LOSS,9325.95803492
SOLUSDT,SHORT,180.65,182.3658542583,27.17584547116444,182.3658542583,177.21829148340004,46.62979017460002,-46.62979017,9.86526276,-56.49505293,LOSS,STOP_LOSS,9269.46298199
ETHUSDT,LONG,3818.66,3796.028858071881,2.0479441584149245,3796.028858071881,3863.9222838562373,46.34731490995002,-46.34731491,15.59445757,-61.94177247,LOSS,STOP_LOSS,9207.52120952
ETHUSDT,LONG,3816.74,3791.5701669599775,1.829078721912693,3791.5701669599775,3867.0796660800447,46.03760604760002,-46.03760605,13.91619824,-59.95380428,LOSS,STOP_LOSS,9147.56740524
SOLUSDT,SHORT,178.81,180.2076505476923,32.72480170506032,180.2076505476923,176.01469890461536,45.737837026200026,-45.73783703,11.74878142,-57.48661845,LOSS,STOP_LOSS,9090.08078679
ETHUSDT,LONG,3817.75,3786.299028296653,1.4451192275599392,3786.299028296653,3880.6519434066936,45.45040393395002,-45.45040393,10.98875746,-56.43916139,LOSS,STOP_LOSS,9033.6416254
ETHUSDT,LONG,3789.12,3755.931954846892,1.360978265475527,3755.931954846892,3855.496090306215,45.168208127000014,-45.16820813,10.26865172,-55.43685985,LOSS,STOP_LOSS,8978.20476555
