symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,LONG,77744.6,77494.26071428572,0.1997289392966688,77494.26071428572,78245.27857142857,50.0,-50.0,31.00569299,-81.00569299,LOSS,STOP_LOSS,2026-07-26T10:46:57.958452+00:00,2026-07-26T10:46:57.959051+00:00,9918.99430701
ETHUSDT,SHORT,2313.81,2322.6610714285716,5.603273223505528,2322.6610714285716,2296.1078571428566,49.59497153505,-49.59497154,25.97941421,-75.57438574,LOSS,STOP_LOSS,2026-07-26T10:46:57.960705+00:00,2026-07-26T10:46:57.961393+00:00,9843.41992127
SOLUSDT,LONG,85.3,84.95392857142858,142.21659328976435,84.95392857142858,85.99214285714285,49.217099606350004,-49.21709961,24.21293372,-73.43003332,LOSS,STOP_LOSS,2026-07-26T10:46:57.963030+00:00,2026-07-26T10:46:57.963287+00:00,9769.98988795
BTCUSDT,SHORT,77477.8,77759.82142857143,0.17321360893460494,77759.82142857143,76913.75714285715,48.84994943975,-48.84994944,26.88926865,-75.73921809,LOSS,STOP_LOSS,2026-07-26T10:46:57.964771+00:00,2026-07-26T10:46:57.965318+00:00,9694.25066986
ETHUSDT,LONG,2327.18,2316.4667857142854,4.524436089543548,2316.4667857142854,2348.6064285714288,48.47125334929999,-48.47125335,21.0098831,-69.48113645,LOSS,STOP_LOSS,2026-07-26T10:46:57.967053+00:00,2026-07-26T10:46:57.967697+00:00,9624.76953341
SOLUSDT,SHORT,85.07,85.44714285714285,127.60111123839181,85.44714285714285,84.3157142857143,48.12384766704999,-48.12384767,21.75817691,-69.88202458,LOSS,STOP_LOSS,2026-07-26T10:46:57.969386+00:00,2026-07-26T10:46:57.969771+00:00,9554.88750883
BTCUSDT,LONG,77715.2,78259.14285714286,0.17565976615665976,77443.22857142857,78259.14285714286,47.77443754415,95.54887509,27.39841659,68.1504585,WIN,TAKE_PROFIT,2026-07-26T10:46:57.971431+00:00,2026-07-26T10:46:57.971676+00:00,9623.03796733
ETHUSDT,SHORT,2315.7,2326.5460714285714,4.436185964062674,2326.5460714285714,2294.0078571428567,48.115189836649996,-48.11518984,20.59386686,-68.7090567,LOSS,STOP_LOSS,2026-07-26T10:46:57.973786+00:00,2026-07-26T10:46:57.974361+00:00,9554.32891063
SOLUSDT,LONG,85.44,86.20285714285713,125.24401193709879,85.05857142857143,86.20285714285713,47.77164455315,95.54328911,21.49724005,74.04604906,WIN,TAKE_PROFIT,2026-07-26T10:46:57.976228+00:00,2026-07-26T10:46:57.976600+00:00,9628.37495969
BTCUSDT,SHORT,78179.4,77541.2357142857,0.15087611725111133,78498.48214285713,77541.2357142857,48.14187479845,96.2837496,23.49452489,72.7892247,WIN,TAKE_PROFIT,2026-07-26T10:46:57.978235+00:00,2026-07-26T10:46:57.979173+00:00,9701.16418439
ETHUSDT,LONG,2322.72,2308.3939285714287,3.385842459588185,2308.3939285714287,2351.3721428571425,48.50582092195,-48.50582092,15.68022217,-64.1860431,LOSS,STOP_LOSS,2026-07-26T10:46:57.981441+00:00,2026-07-26T10:46:57.981785+00:00,9636.97814129
SOLUSDT,SHORT,86.19,86.62928571428571,109.68918209598465,86.62928571428571,85.31142857142858,48.18489070645,-48.18489071,18.9564061,-67.14129681,LOSS,STOP_LOSS,2026-07-26T10:46:57.983575+00:00,2026-07-26T10:46:57.983932+00:00,9569.83684448
BTCUSDT,LONG,77686.0,77304.56071428572,0.1254437757579087,77304.56071428572,78448.87857142858,47.8491842224,-47.84918422,19.44260114,-67.29178537,LOSS,STOP_LOSS,2026-07-26T10:46:57.985690+00:00,2026-07-26T10:46:57.987181+00:00,9502.54505911
ETHUSDT,SHORT,2312.26,2327.1410714285716,3.192829597224206,2327.1410714285716,2282.4978571428574,47.51272529555,-47.5127253,14.81281705,-62.32554235,LOSS,STOP_LOSS,2026-07-26T10:46:57.989119+00:00,2026-07-26T10:46:57.995559+00:00,9440.21951676
SOLUSDT,LONG,86.67,86.2125,103.17179799737748,86.2125,87.585,47.2010975838,-47.20109758,17.83659837,-65.03769595,LOSS,STOP_LOSS,2026-07-26T10:46:57.997464+00:00,2026-07-26T10:46:57.997747+00:00,9375.18182081
BTCUSDT,SHORT,77241.8,77439.78928571429,0.23675982735599227,77439.78928571429,76845.82142857143,46.875909104049995,-46.8759091,36.62238637,-83.49829548,LOSS,STOP_LOSS,2026-07-26T10:46:57.999817+00:00,2026-07-26T10:46:58.000317+00:00,9291.68352533
ETHUSDT,LONG,2327.21,2340.6714285714284,6.902449822488673,2320.4792857142857,2340.6714285714284,46.45841762665,92.91683525,32.21981734,60.69701792,WIN,TAKE_PROFIT,2026-07-26T10:46:58.003072+00:00,2026-07-26T10:46:58.004699+00:00,9352.38054325
SOLUSDT,SHORT,86.23,86.68214285714286,103.42284960940006,86.68214285714286,85.3257142857143,46.76190271625,-46.76190272,17.88306655,-64.64496926,LOSS,STOP_LOSS,2026-07-26T10:46:58.006697+00:00,2026-07-26T10:46:58.008155+00:00,9287.73557399
BTCUSDT,LONG,77377.9,77702.92857142857,0.2857513582011658,77215.3857142857,77702.92857142857,46.43867786995,92.87735574,44.3145574,48.56279834,WIN,TAKE_PROFIT,2026-07-26T10:46:58.010327+00:00,2026-07-26T10:46:58.012072+00:00,9336.29837233
ETHUSDT,SHORT,2348.88,2356.595357142857,6.050464158340065,2356.595357142857,2333.449285714286,46.68149186165,-46.68149186,28.47031,-75.15180186,LOSS,STOP_LOSS,2026-07-26T10:46:58.014924+00:00,2026-07-26T10:46:58.015691+00:00,9261.14657047
SOLUSDT,LONG,86.65,86.2332142857143,111.10201541266494,86.2332142857143,87.48357142857144,46.305732852350005,-46.30573285,19.20767354,-65.51340639,LOSS,STOP_LOSS,2026-07-26T10:46:58.018155+00:00,2026-07-26T10:46:58.018608+00:00,9195.63316408
