symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
SOLUSDT,SHORT,50.413,51.84646428571428,34.14973835417698,51.84646428571428,47.54607142857143,48.952430297199996,-48.9524303,3.49213395,-52.44456425,LOSS,STOP_LOSS,2026-07-26T11:15:31.369170+00:00,2026-07-26T11:15:31.378100+00:00,9738.04149519
BTCUSDT,LONG,36936.1,37385.799999999996,0.2165452856390929,36711.25,37385.799999999996,48.690207475950004,97.38041495,16.09405706,81.28635789,WIN,TAKE_PROFIT,2026-07-26T11:15:31.380673+00:00,2026-07-26T11:15:31.393537+00:00,9819.32785308
ETHUSDT,SHORT,2120.11,2083.938571428572,2.7146640984028556,2138.1957142857145,2083.938571428572,49.0966392654,98.19327853,11.41257972,86.78069881,WIN,TAKE_PROFIT,2026-07-26T11:15:31.396214+00:00,2026-07-26T11:15:31.406230+00:00,9906.10855189
SOLUSDT,LONG,51.91,54.60035714285714,36.82079376781097,50.56482142857143,54.60035714285714,49.53054275945,99.06108552,3.92179589,95.13928962,WIN,TAKE_PROFIT,2026-07-26T11:15:31.408907+00:00,2026-07-26T11:15:31.417785+00:00,10001.24784151
BTCUSDT,SHORT,37340.1,37018.99285714285,0.31146139424121594,37500.65357142857,37018.99285714285,50.006239207549996,100.01247842,23.15998674,76.85249168,WIN,TAKE_PROFIT,2026-07-26T11:15:31.420809+00:00,2026-07-26T11:15:31.431220+00:00,10078.10033319
ETHUSDT,LONG,2081.3,2066.699642857143,3.4513197980641377,2066.699642857143,2110.5007142857144,50.39050166595,-50.39050167,14.31607329,-64.70657496,LOSS,STOP_LOSS,2026-07-26T11:15:31.434759+00:00,2026-07-26T11:15:31.443244+00:00,10013.39375823
SOLUSDT,SHORT,53.431,54.83060714285714,35.77215867085661,54.83060714285714,50.63178571428571,50.066968791149996,-50.06696879,3.87275139,-53.93972018,LOSS,STOP_LOSS,2026-07-26T11:15:31.445866+00:00,2026-07-26T11:15:31.454056+00:00,9959.45403805
BTCUSDT,LONG,37049.0,36856.19642857143,0.2582798120453829,36856.19642857143,37434.607142857145,49.79727019024999,-49.79727019,19.08822024,-68.88549043,LOSS,STOP_LOSS,2026-07-26T11:15:31.457244+00:00,2026-07-26T11:15:31.465930+00:00,9890.56854762
ETHUSDT,SHORT,2072.57,2092.113928571429,2.5303429941099673,2092.113928571429,2033.482142857143,49.45284273809999,-49.45284274,10.5380788,-59.99092154,LOSS,STOP_LOSS,2026-07-26T11:15:31.469006+00:00,2026-07-26T11:15:31.478314+00:00,9830.57762608
SOLUSDT,LONG,54.049,56.99928571428571,33.32076476010072,52.57385714285714,56.99928571428571,49.15288813039999,98.30577626,3.70021381,94.60556246,WIN,TAKE_PROFIT,2026-07-26T11:15:31.482042+00:00,2026-07-26T11:15:31.490989+00:00,9925.18318854
BTCUSDT,SHORT,36858.8,37050.81071428572,0.258453889551475,37050.81071428572,36474.77857142857,49.62591594269998,-49.62591594,19.10222636,-68.72814231,LOSS,STOP_LOSS,2026-07-26T11:15:31.493693+00:00,2026-07-26T11:15:31.502549+00:00,9856.45504623
ETHUSDT,LONG,2085.62,2068.523214285714,2.8825462314808514,2068.523214285714,2119.8135714285713,49.28227523114999,-49.28227523,11.97450987,-61.2567851,LOSS,STOP_LOSS,2026-07-26T11:15:31.505548+00:00,2026-07-26T11:15:31.516656+00:00,9795.19826113
